车型名称,价格区间,上市时间,详情链接,封面图
长安星卡,3.99-5.64万,4月18日上线,https://www.dongchedi.com/auto/series/1473,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/aed9ca2e05be4f789516b9627ed39477~tplv-resize:640:0.png?psm=motor.car_page.go_api
知豆彩虹,3.19-6.09万,4月18日上线,https://www.dongchedi.com/auto/series/9794,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/2423341df9e64b588bf3aa9fa66604d3~tplv-resize:640:0.png?psm=motor.car_page.go_api
智界S7,22.98-34.98万,4月17日上线,https://www.dongchedi.com/auto/series/9225,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/ddc4cbbe4f514dd4bc5417ee6fcc0ceb~tplv-resize:640:0.png?psm=motor.car_page.go_api
依维柯得意,9.29-15.89万,4月17日上线,https://www.dongchedi.com/auto/series/1418,https://p3-dcd.byteimg.com/img/motor-mis-img/25d7dd0b2bb09dcb4cc99df8f4053a30~tplv-resize:640:0.png?psm=motor.car_page.go_api
帕萨特PHEV,21.71-24.21万,4月17日上线,https://www.dongchedi.com/auto/series/2989,https://p3-dcd.byteimg.com/img/motor-mis-img/1304ba480eb5fec1b5059baef1a8762d~tplv-resize:640:0.png?psm=motor.car_page.go_api
捷达VS5,8.79-12.19万,4月17日上线,https://www.dongchedi.com/auto/series/3171,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/c375f1508b1e4ec6902a072796b540a2~tplv-resize:640:0.png?psm=motor.car_page.go_api
红旗HS5,18.38-24.98万,4月17日上线,https://www.dongchedi.com/auto/series/3159,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/ab8b7403cc8b4fb9a988e66dc53d5163~tplv-resize:640:0.png?psm=motor.car_page.go_api
智界R7,24.98-33.98万,4月17日上线,https://www.dongchedi.com/auto/series/10180,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/2b91fd7067b84e36933e34e6bafa72f9~tplv-resize:640:0.png?psm=motor.car_page.go_api
红旗H5,15.98-22.58万,4月17日上线,https://www.dongchedi.com/auto/series/6132,https://p3-dcd.byteimg.com/img/motor-mis-img/4e5a38bacf99a7c63567e63f3bde1216~tplv-resize:640:0.png?psm=motor.car_page.go_api
凯翼拾月,5.39-9.98万,4月16日上线,https://www.dongchedi.com/auto/series/6060,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/d654726800a34ad197462e1a65864112~tplv-resize:640:0.png?psm=motor.car_page.go_api
享界S9,30.98-44.98万,4月16日上线,https://www.dongchedi.com/auto/series/9947,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/a4aa6010a2c24aa995aa79d02ddf3a8f~tplv-resize:640:0.png?psm=motor.car_page.go_api
焜驰V级,89.90-89.90万,4月16日上线,https://www.dongchedi.com/auto/series/25396,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/6b28ec54f2444a10a97e6a67907af6b3~tplv-resize:640:0.png?psm=motor.car_page.go_api
焜驰威霆,65.80-65.80万,4月16日上线,https://www.dongchedi.com/auto/series/25397,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/a30b88ccdff9487794a2ae073a87af9d~tplv-resize:640:0.png?psm=motor.car_page.go_api
创维EV6,10.98-32.98万,4月16日上线,https://www.dongchedi.com/auto/series/5122,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/ad946cfb7300451192fd711f0af4ded0~tplv-resize:640:0.png?psm=motor.car_page.go_api
创维HT-i,8.98-31.68万,4月16日上线,https://www.dongchedi.com/auto/series/5871,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/1f797a0102ab4d71ad0d47e960463d35~tplv-resize:640:0.png?psm=motor.car_page.go_api
哈弗枭龙MAX,13.18-16.98万,4月16日上线,https://www.dongchedi.com/auto/series/8795,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f8ab4d2210c1481f965043dd1d113a35~tplv-resize:640:0.png?psm=motor.car_page.go_api
问界M8,35.98-44.98万,4月16日上线,https://www.dongchedi.com/auto/series/24850,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/5dd7baa13f2349d6adbab30c5f58e168~tplv-resize:640:0.png?psm=motor.car_page.go_api
钛3,13.38-19.38万,4月16日上线,https://www.dongchedi.com/auto/series/9249,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/3297d303d8874797b6d7fee4090f7ca6~tplv-resize:640:0.png?psm=motor.car_page.go_api
凯翼昆仑iHD,10.99-21.98万,4月15日上线,https://www.dongchedi.com/auto/series/6305,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/b23daeb884224c29bfd6c1c82ba6db1e~tplv-resize:640:0.png?psm=motor.car_page.go_api
锐骐,7.78-11.58万,4月15日上线,https://www.dongchedi.com/auto/series/429,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/bc9585e4dd384cc3a0b3209e0932c083~tplv-resize:640:0.png?psm=motor.car_page.go_api
ZEEKR 007GT,20.29-26.29万,4月15日上线,https://www.dongchedi.com/auto/series/25172,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/138c8bd969f947a899b170fdbfde93dd~tplv-resize:640:0.png?psm=motor.car_page.go_api
广汽本田P7,19.99-24.99万,4月15日上线,https://www.dongchedi.com/auto/series/10127,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/037c3ff2631b4cb080f58c35d774be43~tplv-resize:640:0.png?psm=motor.car_page.go_api
小鹏X9,35.98-41.98万,4月15日上线,https://www.dongchedi.com/auto/series/6294,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/4026e8e8826742d1828f4744d85400b3~tplv-resize:640:0.png?psm=motor.car_page.go_api
捷途山海L9,16.49-23.89万,4月15日上线,https://www.dongchedi.com/auto/series/9346,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/89517be1299f435a8be6fdadb179abcb~tplv-resize:640:0.png?psm=motor.car_page.go_api
沃尔沃XC90,63.89-78.19万,4月15日上线,https://www.dongchedi.com/auto/series/1277,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/66ae9abdb81d46149c4b1879d47d0c2c~tplv-resize:640:0.png?psm=motor.car_page.go_api
影豹,11.80-15.80万,4月15日上线,https://www.dongchedi.com/auto/series/4787,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f7497d63f43a4cd18405d73636001342~tplv-resize:640:0.png?psm=motor.car_page.go_api
沃尔沃XC90 PHEV,79.59-89.49万,4月15日上线,https://www.dongchedi.com/auto/series/1276,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/3548052a10e54bf4adf4983b00e6b3c7~tplv-resize:640:0.png?psm=motor.car_page.go_api
逸动,7.29-9.69万,4月15日上线,https://www.dongchedi.com/auto/series/1455,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/539de6103bab4d678713a55c06cb9dce~tplv-resize:640:0.png?psm=motor.car_page.go_api
熊猫,2.99-5.39万,4月15日上线,https://www.dongchedi.com/auto/series/6148,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/78ca006700884c30ad75d407f626e606~tplv-resize:640:0.png?psm=motor.car_page.go_api
风景i,7.98-16.58万,4月14日上线,https://www.dongchedi.com/auto/series/25101,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/5f686ed5e6d64f168aea5e628fe9ce75~tplv-resize:640:0.png?psm=motor.car_page.go_api
电动MINI JCW,29.98-29.98万,4月14日上线,https://www.dongchedi.com/auto/series/25281,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/fa80dd6e122e4327a527cde761d23f03~tplv-resize:640:0.png?psm=motor.car_page.go_api
电动MINI JCW ACEMAN,32.09-32.09万,4月14日上线,https://www.dongchedi.com/auto/series/25282,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/87b832b880134a57b316053b2df419d5~tplv-resize:640:0.png?psm=motor.car_page.go_api
